Time Interval,Day,SpecialEvent,Weather,People Count
01-01-2024 00:00,Monday,FALSE,Rainy,10
01-01-2024 00:10,Monday,FALSE,Rainy,14
01-01-2024 00:20,Monday,FALSE,Cloudy,11
01-01-2024 00:30,Monday,FALSE,Rainy,10
01-01-2024 00:40,Monday,FALSE,Sunny,10
01-01-2024 00:50,Monday,FALSE,Cloudy,13
01-01-2024 01:00,Monday,FALSE,Sunny,10
01-01-2024 01:10,Monday,FALSE,Rainy,11
01-01-2024 01:20,Monday,FALSE,Rainy,15
01-01-2024 01:30,Monday,FALSE,Cloudy,14
01-01-2024 01:40,Monday,FALSE,Sunny,10
01-01-2024 01:50,Monday,FALSE,Sunny,12
01-01-2024 02:00,Monday,FALSE,Rainy,10
01-01-2024 02:10,Monday,FALSE,Sunny,10
01-01-2024 02:20,Monday,FALSE,Sunny,10
01-01-2024 02:30,Monday,FALSE,Rainy,10
01-01-2024 02:40,Monday,FALSE,Sunny,11
01-01-2024 02:50,Monday,FALSE,Cloudy,18
01-01-2024 03:00,Monday,FALSE,Cloudy,16
01-01-2024 03:10,Monday,FALSE,Rainy,16
01-01-2024 03:20,Monday,FALSE,Cloudy,18
01-01-2024 03:30,Monday,FALSE,Rainy,12
01-01-2024 03:40,Monday,FALSE,Cloudy,18
01-01-2024 03:50,Monday,FALSE,Sunny,11
01-01-2024 04:00,Monday,FALSE,Cloudy,10
01-01-2024 04:10,Monday,FALSE,Cloudy,14
01-01-2024 04:20,Monday,FALSE,Sunny,11
01-01-2024 04:30,Monday,FALSE,Cloudy,17
01-01-2024 04:40,Monday,FALSE,Rainy,14
01-01-2024 04:50,Monday,FALSE,Cloudy,11
01-01-2024 05:00,Monday,FALSE,Rainy,13
01-01-2024 05:10,Monday,FALSE,Sunny,10
01-01-2024 05:20,Monday,FALSE,Rainy,13
01-01-2024 05:30,Monday,FALSE,Rainy,14
01-01-2024 05:40,Monday,FALSE,Cloudy,10
01-01-2024 05:50,Monday,FALSE,Rainy,15
01-01-2024 06:00,Monday,FALSE,Rainy,16
01-01-2024 06:10,Monday,FALSE,Sunny,10
01-01-2024 06:20,Monday,FALSE,Cloudy,11
01-01-2024 06:30,Monday,FALSE,Sunny,12
01-01-2024 06:40,Monday,FALSE,Sunny,10
01-01-2024 06:50,Monday,FALSE,Cloudy,10
01-01-2024 07:00,Monday,FALSE,Rainy,12
01-01-2024 07:10,Monday,FALSE,Cloudy,13
01-01-2024 07:20,Monday,FALSE,Sunny,12
01-01-2024 07:30,Monday,FALSE,Rainy,10
01-01-2024 07:40,Monday,FALSE,Cloudy,17
01-01-2024 07:50,Monday,FALSE,Rainy,10
01-01-2024 08:00,Monday,FALSE,Cloudy,162
01-01-2024 08:10,Monday,FALSE,Sunny,176
01-01-2024 08:20,Monday,FALSE,Sunny,165
01-01-2024 08:30,Monday,FALSE,Sunny,189
01-01-2024 08:40,Monday,FALSE,Rainy,88
01-01-2024 08:50,Monday,FALSE,Cloudy,157
01-01-2024 09:00,Monday,FALSE,Cloudy,153
01-01-2024 09:10,Monday,FALSE,Rainy,81
01-01-2024 09:20,Monday,FALSE,Cloudy,143
01-01-2024 09:30,Monday,FALSE,Cloudy,127
01-01-2024 09:40,Monday,FALSE,Cloudy,141
01-01-2024 09:50,Monday,FALSE,Rainy,96
01-01-2024 10:00,Monday,FALSE,Cloudy,58
01-01-2024 10:10,Monday,FALSE,Rainy,27
01-01-2024 10:20,Monday,FALSE,Rainy,44
01-01-2024 10:30,Monday,FALSE,Rainy,46
01-01-2024 10:40,Monday,FALSE,Cloudy,53
01-01-2024 10:50,Monday,FALSE,Cloudy,62
01-01-2024 11:00,Monday,FALSE,Rainy,30
01-01-2024 11:10,Monday,FALSE,Sunny,79
01-01-2024 11:20,Monday,FALSE,Cloudy,54
01-01-2024 11:30,Monday,FALSE,Sunny,75
01-01-2024 11:40,Monday,FALSE,Cloudy,66
01-01-2024 11:50,Monday,FALSE,Cloudy,51
01-01-2024 12:00,Monday,FALSE,Cloudy,65
01-01-2024 12:10,Monday,FALSE,Sunny,58
01-01-2024 12:20,Monday,FALSE,Cloudy,32
01-01-2024 12:30,Monday,FALSE,Rainy,34
01-01-2024 12:40,Monday,FALSE,Cloudy,47
01-01-2024 12:50,Monday,FALSE,Sunny,77
01-01-2024 13:00,Monday,FALSE,Sunny,72
01-01-2024 13:10,Monday,FALSE,Rainy,25
01-01-2024 13:20,Monday,FALSE,Rainy,35
01-01-2024 13:30,Monday,FALSE,Cloudy,51
01-01-2024 13:40,Monday,FALSE,Cloudy,55
01-01-2024 13:50,Monday,FALSE,Cloudy,37
01-01-2024 14:00,Monday,FALSE,Rainy,29
01-01-2024 14:10,Monday,FALSE,Sunny,62
01-01-2024 14:20,Monday,FALSE,Rainy,38
01-01-2024 14:30,Monday,FALSE,Sunny,71
01-01-2024 14:40,Monday,FALSE,Sunny,80
01-01-2024 14:50,Monday,FALSE,Cloudy,61
01-01-2024 15:00,Monday,FALSE,Cloudy,60
01-01-2024 15:10,Monday,FALSE,Sunny,75
01-01-2024 15:20,Monday,FALSE,Rainy,37
01-01-2024 15:30,Monday,FALSE,Cloudy,41
01-01-2024 15:40,Monday,FALSE,Sunny,31
01-01-2024 15:50,Monday,FALSE,Cloudy,72
01-01-2024 16:00,Monday,FALSE,Sunny,68
01-01-2024 16:10,Monday,FALSE,Sunny,57
01-01-2024 16:20,Monday,FALSE,Sunny,47
01-01-2024 16:30,Monday,FALSE,Sunny,45
01-01-2024 16:40,Monday,FALSE,Rainy,25
01-01-2024 16:50,Monday,FALSE,Cloudy,72
01-01-2024 17:00,Monday,FALSE,Cloudy,170
01-01-2024 17:10,Monday,FALSE,Rainy,105
01-01-2024 17:20,Monday,FALSE,Sunny,216
01-01-2024 17:30,Monday,FALSE,Rainy,103
01-01-2024 17:40,Monday,FALSE,Cloudy,170
01-01-2024 17:50,Monday,FALSE,Sunny,205
01-01-2024 18:00,Monday,FALSE,Cloudy,174
01-01-2024 18:10,Monday,FALSE,Cloudy,169
01-01-2024 18:20,Monday,FALSE,Rainy,96
01-01-2024 18:30,Monday,FALSE,Sunny,187
01-01-2024 18:40,Monday,FALSE,Rainy,101
01-01-2024 18:50,Monday,FALSE,Cloudy,156
01-01-2024 19:00,Monday,FALSE,Rainy,12
01-01-2024 19:10,Monday,FALSE,Rainy,12
01-01-2024 19:20,Monday,FALSE,Rainy,10
01-01-2024 19:30,Monday,FALSE,Rainy,10
01-01-2024 19:40,Monday,FALSE,Cloudy,19
01-01-2024 19:50,Monday,FALSE,Rainy,15
01-01-2024 20:00,Monday,FALSE,Sunny,24
01-01-2024 20:10,Monday,FALSE,Sunny,38
01-01-2024 20:20,Monday,FALSE,Rainy,15
01-01-2024 20:30,Monday,FALSE,Cloudy,13
01-01-2024 20:40,Monday,FALSE,Sunny,19
01-01-2024 20:50,Monday,FALSE,Cloudy,14
01-01-2024 21:00,Monday,FALSE,Cloudy,14
